prov,year,type,bq,green,ndp,liberal,other,pc,conservative,reform,sc
BC,1953,Votes,,,26.6,30.9,2.3,14.1,,,26.1
AB,1953,Votes,,,6.9,35.1,2.8,14.5,,,40.7
SK,1953,Votes,,,44.2,37.3,1.5,11.7,,,5.3
MB,1953,Votes,,,23.6,37.0,6.1,27.0,,,6.3
ON,1953,Votes,,,11.1,46.0,2.3,40.3,,,0.3
QC,1953,Votes,,,1.5,61.0,8.1,29.4,,,
NB,1953,Votes,,,3.0,52.7,2.0,41.9,,,0.4
NS,1953,Votes,,,6.7,53.0,0.2,40.1,,,
PE,1953,Votes,,,0.8,51.1,0.1,48.0,,,
NL,1953,Votes,,,0.6,67.2,4.1,28.1,,,
BC,1957,Votes,,,22.6,20.4,0.9,32.5,,,23.6
AB,1957,Votes,,,6.3,27.6,1.2,27.4,,,37.5
SK,1957,Votes,,,35.8,30.2,0.6,23.0,,,10.4
MB,1957,Votes,,,23.4,25.8,2.3,35.5,,,13
ON,1957,Votes,,,11.9,36.6,1.8,48.1,,,1.6
QC,1957,Votes,,,1.8,56.8,10.5,30.7,,,0.2
NB,1957,Votes,,,0.8,47.5,2.6,48.1,,,1
NS,1957,Votes,,,4.3,45.9,-0.4,50.1,,,0.1
PE,1957,Votes,,,1.0,46.4,0.6,52.0,,,
NL,1957,Votes,,,0.4,61.3,0.9,37.4,,,
BC,1958,Votes,,,24.5,16.1,0.4,49.4,,,9.6
AB,1958,Votes,,,4.4,13.7,0.4,59.9,,,21.6
SK,1958,Votes,,,28.4,19.6,0.2,51.4,,,0.4
MB,1958,Votes,,,19.6,21.6,0.3,56.7,,,1.8
ON,1958,Votes,,,10.5,32.1,0.7,56.4,,,0.3
QC,1958,Votes,,,2.3,45.6,1.9,49.6,,,0.6
NB,1958,Votes,,,1.8,43.4,0.0,54.1,,,0.7
NS,1958,Votes,,,4.5,38.4,0.1,57.0,,,
PE,1958,Votes,,,0.3,37.5,0.0,62.2,,,
NL,1958,Votes,,,0.2,54.4,0.2,45.2,,,
BC,1962,Votes,,,30.9,27.3,0.3,27.3,,,14.2
AB,1962,Votes,,,8.4,19.4,0.2,42.8,,,29.2
SK,1962,Votes,,,22.1,22.8,0.1,50.4,,,4.6
MB,1962,Votes,,,19.7,31.3,0.6,41.6,,,6.8
ON,1962,Votes,,,17.2,41.0,0.8,39.2,,,1.8
QC,1962,Votes,,,4.4,39.2,0.8,29.6,,,26
NB,1962,Votes,,,5.3,44.4,0.2,46.5,,,3.6
NS,1962,Votes,,,9.4,42.4,0.1,47.3,,,0.8
PE,1962,Votes,,,5.2,43.3,0.0,51.3,,,0.2
NL,1962,Votes,,,4.9,59.0,0.0,36.0,,,0.1
BC,1963,Votes,,,30.3,32.3,0.7,23.4,,,13.3
AB,1963,Votes,,,6.5,22.1,0.3,45.3,,,25.8
SK,1963,Votes,,,18.2,24.1,0.1,53.7,,,3.9
MB,1963,Votes,,,16.7,33.8,0.2,42.3,,,7
ON,1963,Votes,,,16.2,45.8,1.0,35.0,,,2
QC,1963,Votes,,,7.1,45.6,0.5,19.5,,,27.3
NB,1963,Votes,,,3.7,47.3,0.0,40.4,,,8.6
NS,1963,Votes,,,6.4,46.7,-0.1,46.9,,,0.1
PE,1963,Votes,,,1.6,46.4,0.0,52.0,,,
NL,1963,Votes,,,4.2,64.5,1.2,30.1,,,
BC,1965,Votes,,,32.9,30.0,0.5,19.2,,,17.4
AB,1965,Votes,,,8.2,22.4,0.3,46.6,,,22.5
SK,1965,Votes,,,26.0,24.0,0.1,48.0,,,1.9
MB,1965,Votes,,,24.0,31.0,0.0,40.7,,,4.3
ON,1965,Votes,,,21.7,43.6,0.3,34.0,,,0.4
QC,1965,Votes,,,12.0,45.6,3.6,21.3,,,17.5
NB,1965,Votes,,,9.4,47.5,0.1,42.5,,,0.5
NS,1965,Votes,,,9.1,42.0,0.3,48.6,,,
PE,1965,Votes,,,2.0,44.1,0.0,53.9,,,
NL,1965,Votes,,,1.2,64.1,2.3,32.4,,,
BC,1968,Votes,,,32.6,41.8,0.3,18.9,,,6.4
AB,1968,Votes,,,9.4,35.7,2.0,51.0,,,1.9
SK,1968,Votes,,,35.7,27.1,0.2,37.0,,,
MB,1968,Votes,,,25.0,41.5,0.6,31.4,,,1.5
ON,1968,Votes,,,20.6,46.2,1.2,32.0,,,
