province,date,incumbent,mf,orig_repl,repl_num,before_maj,gov_since,prem_since,first_perc,last_perc,years_gov,years_prem,ryears_gov,ryears_prem,after,win,win_code,after_maj,state_code,vote_perc,change_first,change_last
AB,11/2/1982,Peter Lougheed,M,Orig,,Maj,8/30/1971,8/30/1971,46.4,57.4,11.2,11.2,11,11,3,Y,1,Maj,2,62.3,15.9,4.9
AB,5/8/1986,Don Getty,M,Repl,1,Maj,8/30/1971,11/1/1985,46.4,62.3,14.7,0.5,14,0,4,Y,1,Maj,2,51.4,5.0,-10.9
AB,3/20/1989,Don Getty,M,Repl,1,Maj,8/30/1971,11/1/1985,46.4,51.4,17.6,3.4,17,3,5,Y,1,Maj,2,44.3,-2.1,-7.1
AB,6/15/1993,Ralph Klein,M,Repl,2,Maj,8/30/1971,12/14/1992,46.4,44.3,21.8,0.5,21,0,6,Y,1,Maj,2,44.5,-1.9,0.2
AB,3/11/1997,Ralph Klein,M,Repl,2,Maj,8/30/1971,12/14/1992,46.4,44.5,25.5,4.2,25,4,7,Y,1,Maj,2,51.2,4.8,6.7
AB,3/12/2001,Ralph Klein,M,Repl,2,Maj,8/30/1971,12/14/1992,46.4,51.2,29.5,8.2,29,8,8,Y,1,Maj,2,61.9,15.5,10.7
AB,11/22/2004,Ralph Klein,M,Repl,2,Maj,8/30/1971,12/14/1992,46.4,61.9,33.2,11.9,33,11,9,Y,1,Maj,2,46.8,0.4,-15.1
AB,3/3/2008,Ed Stelmach,M,Repl,3,Maj,8/30/1971,12/2/2006,46.4,46.8,36.5,1.3,36,1,10,Y,1,Maj,2,52.7,6.3,5.9
AB,4/23/2012,Alison Redford,F,Repl,4,Maj,8/30/1971,10/2/2011,46.4,52.7,40.6,0.6,40,0,11,Y,1,Maj,2,44.0,-2.4,-8.7
AB,5/5/2015,Jim Prentice,M,Repl,5,Maj,8/30/1971,9/6/2014,46.4,44.0,43.7,0.7,43,0,12,N,0,--,0,27.8,-18.6,-16.2
BC,5/5/1983,Bill Bennett,M,Orig,,Maj,12/11/1975,12/11/1975,49.3,48.2,7.4,7.4,7,7,2,Y,1,Maj,2,49.8,0.5,1.6
BC,10/22/1986,Bill Vander Zalm,M,Repl,1,Maj,12/11/1975,8/6/1986,49.3,49.8,10.9,0.2,10,0,3,Y,1,Maj,2,49.3,0.0,-0.5
BC,10/17/1991,Rita Johnson,F,Repl,2,Maj,12/11/1975,4/2/1991,49.3,49.3,15.8,0.5,15,0,4,N,0,--,0,24.1,-25.3,-25.3
BC,5/28/1996,Glen Clark,M,Repl,1,Maj,10/17/1991,2/22/1996,40.7,40.7,4.6,0.3,4,0,1,Y,1,Maj,2,39.5,-1.2,-1.2
BC,5/16/2001,Ujjal Dosanjh,M,Repl,2,Maj,10/17/1991,2/20/2000,40.7,39.5,9.6,1.2,9,1,2,N,0,--,0,21.6,-19.2,-17.9
BC,5/17/2005,Gordon Campbell,M,Orig,,Maj,5/16/2001,5/16/2001,57.6,57.6,4.0,4.0,4,4,1,Y,1,Maj,2,45.8,-11.8,-11.8
BC,5/12/2009,Gordon Campbell,M,Orig,,Maj,5/16/2001,5/16/2001,57.6,45.8,8.0,8.0,7,7,2,Y,1,Maj,2,45.8,-11.8,0.0
BC,5/14/2013,Christy Clark,F,Repl,1,Maj,5/16/2001,2/26/2011,57.6,45.8,12.0,2.2,11,2,3,Y,1,Maj,2,44.1,-13.5,-1.7
BC,5/9/2017,Christy Clark,F,Repl,1,Maj,5/16/2001,2/26/2011,57.6,44.1,16.0,6.2,15,6,4,N,0,--,0,40.4,-17.3,-3.8
Fed,2/18/1980,Joe Clark,M,Orig,,Min,5/22/1979,5/22/1979,35.9,35.9,0.7,0.7,0,0,1,N,0,--,0,32.5,-3.5,-3.5
Fed,9/4/1984,John Turner,M,Repl,1,Maj,2/8/1980,6/16/1984,44.3,44.3,4.6,0.2,4,0,1,N,0,--,0,28.0,-16.3,-16.3
Fed,11/21/1988,Brian Mulroney,M,Orig,,Maj,9/4/1984,9/4/1984,50.0,50.0,4.2,4.2,4,4,1,Y,1,Maj,2,43.0,-7.0,-7.0
Fed,10/25/1993,Kim Campbell,F,Repl,1,Maj,9/4/1984,6/13/1993,50.0,43.0,9.1,0.4,9,0,2,N,0,--,0,16.0,-34.0,-27.0
Fed,6/2/1997,Jean Chrétien,M,Orig,,Maj,10/25/1993,10/25/1993,41.2,41.2,3.6,3.6,3,3,1,Y,1,Maj,2,38.5,-2.8,-2.7
Fed,11/27/2000,Jean Chrétien,M,Orig,,Maj,10/25/1993,10/25/1993,41.2,38.5,7.1,7.1,7,7,2,Y,1,Maj,2,40.9,-0.4,2.4
Fed,6/28/2004,Paul Martin,M,Repl,1,Maj,10/25/1993,11/14/2003,41.2,40.9,10.7,0.6,10,0,3,Y,1,Min,1,36.7,-4.5,-4.1
Fed,1/23/2006,Paul Martin,M,Repl,1,Min,10/25/1993,11/14/2003,41.2,36.7,12.2,2.2,12,2,4,N,0,--,0,30.2,-11.0,-6.5
Fed,10/14/2008,Stephen Harper,M,Orig,,Min,1/23/2006,1/23/2006,36.3,36.3,2.7,2.7,2,2,1,Y,1,Min,1,37.7,1.4,1.4
Fed,5/1/2011,Stephen Harper,M,Orig,,Min,1/23/2006,1/23/2006,36.3,37.7,5.3,5.3,5,5,2,Y,1,Maj,2,39.6,3.3,2.0
Fed,10/19/2015,Stephen Harper,M,Orig,,Maj,1/23/2006,1/23/2006,36.3,39.6,9.7,9.7,9,9,3,N,0,--,0,31.9,-4.4,-7.7
MB,11/17/1981,Sterling Lyon,M,Orig,,Maj,10/11/1977,10/11/1977,48.8,48.8,4.1,4.1,4,4,1,N,0,--,0,43.8,-4.9,-4.9
MB,3/18/1986,Howard Pawley,M,Orig,,Maj,11/17/1981,11/17/1981,47.4,47.4,4.3,4.3,4,4,1,Y,1,Maj,2,41.5,-5.9,-5.9
MB,4/26/1988,Howard Pawley,M,Repl,1,Maj,11/17/1981,4/26/1988,47.4,41.5,6.4,0.0,6,0,2,N,0,--,0,23.6,-23.8,-17.9
MB,9/11/1990,Gary Filmon,M,Orig,,Min,4/26/1988,4/26/1988,38.4,38.4,2.4,2.4,2,2,1,Y,1,Maj,2,42.0,3.6,3.6
MB,4/25/1995,Gary Filmon,M,Orig,,Maj,4/26/1988,4/26/1988,38.4,42.0,7.0,7.0,6,6,2,Y,1,Maj,2,42.9,4.5,0.9
MB,9/21/1999,Gary Filmon,M,Orig,,Maj,4/26/1988,4/26/1988,38.4,42.9,11.4,11.4,11,11,3,N,0,--,0,40.8,2.5,-2.1
MB,6/3/2003,Gary Doer,M,Orig,,Maj,9/21/1999,9/21/1999,44.5,44.5,3.7,3.7,3,3,1,Y,1,Maj,2,49.5,5.0,5.0
MB,5/22/2007,Gary Doer,M,Orig,,Maj,9/21/1999,9/21/1999,44.5,49.5,7.7,7.7,7,7,2,Y,1,Maj,2,48.0,3.5,-1.5
MB,10/4/2011,Greg Selinger,M,Repl,1,Maj,9/21/1999,10/17/2009,44.5,46.2,12.0,2.0,12,1,3,Y,1,Maj,2,46.2,1.7,0.0
MB,4/19/2016,Greg Selinger,M,Repl,1,Maj,9/21/1999,10/17/2009,44.5,46.2,16.6,6.5,16,6,4,N,0,--,0,25.8,-18.7,-20.4
NB,10/12/1982,Richard Hatfield,M,Orig,,Maj,10/26/1970,10/26/1970,48.4,44.4,12.0,12.0,11,11,3,Y,1,Maj,2,47.5,-0.9,3.1
NB,10/13/1987,Richard Hatfield,M,Orig,,Maj,10/26/1970,10/26/1970,48.4,47.5,17.0,17.0,16,16,4,N,0,--,0,28.6,-19.8,-18.9
NB,9/23/1991,Frank McKenna,M,Orig,,Maj,10/13/1987,10/13/1987,60.4,60.4,3.9,3.9,3,3,1,Y,1,Maj,2,47.1,-13.3,-13.3
NB,9/11/1995,Frank McKenna,M,Orig,,Maj,10/13/1987,10/13/1987,60.4,47.1,7.9,7.9,7,7,2,Y,1,Maj,2,51.6,-8.8,4.5
NB,6/7/1999,Camille Thériault,M,Repl,1,Maj,10/13/1987,5/14/1998,60.4,51.6,11.6,1.1,11,1,3,N,0,--,0,37.3,-23.1,-14.3
NB,6/9/2003,Bernard Lord,M,Orig,,Maj,6/7/1999,6/7/1999,53.0,53.0,4.0,4.0,4,4,1,Y,1,Maj,2,45.4,-7.6,-7.6
NB,9/18/2006,Bernard Lord,M,Orig,,Maj,6/7/1999,6/7/1999,53.0,45.4,7.3,7.3,7,7,2,N,0,--,0,47.5,-5.5,2.1
NB,9/27/2010,Shawn Graham,M,Orig,,Maj,9/18/2006,9/18/2006,47.1,47.1,4.0,4.0,4,4,1,N,0,--,0,34.4,-12.7,-12.7
NB,9/22/2014,David Alward,M,Orig,,Maj,9/27/2010,9/27/2010,48.8,48.8,4.0,4.0,3,3,1,N,0,--,0,34.7,-14.2,-14.2
NB,9/24/2018,Brian Gallant,M,Orig,,Maj,9/22/2014,9/22/2014,42.7,42.7,4.0,4.0,4,4,1,N,0,--,0,37.8,-4.9,-4.9
NB,9/14/2020,Blaine Higgs,M,Orig,,Min,9/24/2018,9/24/2018,31.9,31.9,2.0,2.0,1,1,1,Y,1,Maj,2,39.3,7.5,7.5
NL,4/6/1982,Brian Peckford,M,Repl,1,Maj,3/24/1972,3/26/1979,60.5,50.3,10.0,3.0,10,3,3,Y,1,Maj,2,61.2,0.7,10.9
NL,4/2/1985,Brian Peckford,M,Repl,1,Maj,3/24/1972,3/26/1979,60.5,61.2,13.0,6.0,13,6,4,Y,1,Maj,2,48.6,-11.9,-12.6
NL,4/20/1989,Tom Rideout,M,Repl,2,Maj,3/24/1972,3/22/1989,60.5,48.6,17.1,0.1,17,0,5,N,0,--,0,47.6,-12.9,-1.0
NL,5/3/1993,Clyde Wells,M,Orig,,Maj,4/20/1989,4/20/1989,47.2,47.2,4.0,4.0,4,4,1,Y,1,Maj,2,49.1,1.9,1.9
NL,2/22/1996,Brian Tobin,M,Repl,1,Maj,4/20/1989,1/26/1996,47.2,49.1,6.8,0.1,6,0,2,Y,1,Maj,2,55.1,7.9,6.0
NL,2/9/1999,Brian Tobin,M,Repl,1,Maj,4/20/1989,1/26/1996,47.2,55.1,9.8,3.0,9,3,3,Y,1,Maj,2,49.6,2.4,-5.5
NL,10/21/2003,Roger Grimes,M,Repl,3,Maj,4/20/1989,10/16/2000,47.2,49.6,14.5,3.0,14,3,4,N,0,--,0,33.1,-14.2,-16.6
NL,10/9/2007,Danny Williams,M,Orig,,Maj,10/21/2003,10/21/2003,58.7,58.7,4.0,4.0,3,3,1,Y,1,Maj,2,69.6,10.9,10.9
NL,10/11/2011,Kathy Dunderdale,M,Repl,1,Maj,10/21/2003,4/2/2011,58.7,69.6,8.0,0.5,7,0,2,Y,1,Maj,2,56.1,-2.6,-13.5
NL,11/30/2015,Paul Davis,M,Repl,3,Maj,10/21/2003,9/13/2014,58.7,56.1,12.1,1.2,12,1,3,N,0,--,0,30.1,-28.6,-26.0
NL,5/16/2019,Dwight Ball,M,Orig,,Maj,11/30/2015,11/30/2015,57.2,57.2,3.5,3.5,3,3,1,Y,1,Min,1,43.9,-13.3,-13.3
NS,10/6/1981,John Buchanan,M,Orig,,Maj,9/19/1978,9/19/1978,45.8,45.8,3.0,3.0,3,3,2,Y,1,Maj,2,45.8,0.0,0.0
NS,11/6/1984,John Buchanan,M,Orig,,Maj,9/19/1978,9/19/1978,45.8,45.8,6.1,6.1,6,6,3,Y,1,Maj,2,50.6,4.8,4.8
NS,9/6/1988,John Buchanan,M,Orig,,Maj,9/19/1978,9/19/1978,45.8,50.6,10.0,10.0,9,9,4,Y,1,Maj,2,43.4,-2.4,-7.2
NS,5/25/1993,Donald Cameron,M,Repl,2,Maj,9/19/1978,2/9/1991,45.8,43.4,14.7,2.3,14,2,5,N,0,--,0,31.1,-14.7,-12.3
NS,3/24/1998,Russell MacLellan,M,Repl,1,Maj,5/25/1993,7/12/1997,49.7,49.7,4.8,0.7,4,0,1,Y,1,Min,1,35.3,-14.3,-14.3
NS,7/27/1999,Russell MacLellan,M,Repl,1,Min,5/25/1993,7/12/1997,49.7,35.3,6.2,2.0,6,2,2,N,0,--,0,29.8,-19.9,-5.5
NS,8/5/2003,John Hamm,M,Orig,,Maj,7/27/1999,7/27/1999,39.2,39.2,4.0,4.0,4,4,1,Y,1,Min,1,36.3,-2.9,-2.9
NS,6/13/2006,Rodney MacDonald,M,Repl,1,Min,7/27/1999,2/11/2006,39.2,36.3,6.9,0.3,6,0,2,Y,1,Min,1,39.6,0.4,3.3
NS,6/9/2009,Rodney MacDonald,M,Repl,1,Min,7/27/1999,2/11/2006,39.2,39.6,9.9,3.3,9,3,3,N,0,--,0,24.5,-14.7,-15.0
