province,party,start_date,end_date,,first_leader,notation
AB,PC,8/30/1971,5/5/2015,43.7,Peter Lougheed,OOOOTOTOOOTTZ
AB,NDP,5/5/2015,4/16/2019,3.9,Rachel Notley,OX
BC,SC,12/11/1975,10/17/1991,15.8,Bill Bennett,OOOTX
BC,NDP,10/17/1991,5/16/2001,9.6,Mike Harcourt,OTZ
BC,Lib,5/16/2001,5/9/2017,16.0,Gordon Campbell,OOOTX
Fed,PC,9/4/1984,10/25/1993,9.1,Brian Mulroney,OOZ
Fed,Lib,10/25/1993,1/23/2006,12.2,Jean Chrétien,OOOtX
Fed,Con,1/23/2006,10/19/2015,9.7,Stephen Harper,ooOX
MB,NDP,11/17/1981,4/26/1988,6.4,Howard Pawley,OOX
MB,PC,4/26/1988,9/21/1999,11.4,Gary Filmon,oOOX
MB,NDP,9/21/1999,4/19/2016,16.6,Gary Doer,OOOTX
NB,PC,10/26/1970,10/13/1987,17.0,Richard Hatfield,OOOOX
NB,Lib,10/13/1987,6/7/1999,11.6,Frank McKenna,OOOX
NB,PC,6/7/1999,9/18/2006,7.3,Bernard Lord,OOX
NB,Lib,9/18/2006,9/27/2010,4.0,Shawn Graham,OX
NB,PC,9/27/2010,9/22/2014,4.0,David Alward,OX
NB,Lib,9/22/2014,9/24/2018,4.0,Brian Gallant,OX
NL,PC,3/24/1972,4/20/1989,17.1,Frank Moores,OOTOOX
NL,Lib,4/20/1989,10/21/2003,14.5,Clyde Wells,OOTOZ
NL,PC,10/21/2003,11/30/2015,12.1,Danny Williams,OOTZ
NS,PC,9/19/1978,5/25/1993,14.7,John Buchanan,OOOOZ
NS,Lib,5/25/1993,7/27/1999,6.2,John Savage,OtX
NS,PC,7/27/1999,6/9/2009,9.9,John Hamm,OotX
NS,NDP,6/9/2009,10/8/2013,4.3,Darrell Dexter,OX
ON,Lib,5/2/1985,9/6/1990,5.3,David Peterson,oOX
ON,NDP,9/6/1990,6/8/1995,4.8,Bob Rae,OX
ON,PC,6/8/1995,10/2/2003,8.3,Mike Harris,OOZ
ON,Lib,10/2/2003,6/7/2018,14.7,Dalton McGuinty,OOoTX
PEI,PC,4/23/1979,4/21/1986,7.0,Angus MacLean,OTX
PEI,Lib,4/21/1986,11/18/1996,10.6,Joe Ghiz,OOTZ
PEI,PC,11/18/1996,5/28/2007,10.5,Pat Binns,OOOX
PEI,Lib,5/28/2007,5/9/2019,11.9,Robert Ghiz,OOTX
QC,PQ,11/15/1976,12/2/1985,9.0,René Lévesque,OOZ
QC,Lib,12/2/1985,9/12/1994,8.8,Robert Bourassa,OOZ
QC,PQ,9/12/1994,4/14/2003,8.6,Jacques Parizeau,OTZ
QC,Lib,4/14/2003,9/4/2012,9.4,Jean Charest,OoOX
QC,PQ,9/4/2012,4/7/2014,1.6,Pauline Marois,oX
QC,Lib,4/7/2014,10/1/2018,4.5,Philippe Couillard,OX
SK,PC,4/26/1982,10/21/1991,9.5,Grant Devine,OOX
SK,NDP,10/21/1991,11/7/2007,16.0,Roy Romanow,OOOTX
