EventNameEnglish,EventNameFrench,IsGeneralElection,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,ReturningOfficerName,ReturningOfficeCity,PollingDate,ResignedMPPName,NameOfCandidates,PoliticalInterestCode,TotalValidBallotsCast,PercentOfTotalValidBallotsCast,Plurality,IsMemberOfPreviousLegislature
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,GLENN THIBEAULT,LIB,10640,0.41248303934871099,1573,0
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,SUZANNE SHAWBONQUIT,NDP,9067,0.35150222911416941,0,0
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,ANDREW OLIVIER,IND,3183,0.12339600697809653,0,0
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,PAULA PERONI,PCP,1937,0.07509207210699748,0,0
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,DAVID ROBINSON,GPO,837,0.03244814886605931,0,0
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,JEAN-RAYMOND AUDET,PEO,39,0.00151192091490598,0,0
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,JOHN TURMEL,PAU,25,0.00096918007365768,0,0
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,J. DAVID POPESCU,IND,24,0.00093041287071137,0,0
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,ED POKONZIE,IND,22,0.00085287846481876,0,0
2015 - 2017 By Elections,élection partielles de 2015 - 2017,0,088,SUDBURY,SUDBURY,Ellen Kerr,Sudbury,2015-Feb-05,Joe Cimino,JAMES WADDELL,IND,21,0.00081411126187245,0,0
