-,Cond,Comm,Joint List,Balad-Ra'am,Hadash-Ta'al,Ta'al,Ra'am,Labor-Meretz,Democratic Union,Meretz,Barak,Labor,Huldai,Livni,Levy,Kachol Lavan,Yesh Atid,Gantz,Yisrael Beitenu,Sa'ar,Yamina,New Right,United Right List,Otzma,Shas,UTJ,Likud,Kahlon,Zehut,NEP,,,
2015-03-17,,,13,,,,,,,5,,24,,,,,11,,6,,8,,,,7,6,30,10,,,,,
2015-11-30,,,13,,,,,,,5,,20,,,,,15,,8,,9,,,,8,6,31,5,,,,,
2016-01-01,,,13,,,,,,,6,,18,,,,,18,,8,,12,,,,6,7,25,7,,,,,
2016-01-21,,,14,,,,,,,4,,15,,,,,16,,10,,13,,,,7,7,27,7,,,,,
2016-01-28,,,12,,,,,,,7,,16,,,,,20,,8,,13,,,,6,6,23,9,,,,,
2016-01-28,,,13,,,,,,,5,,18,,,,,18,,9,,9,,,,8,6,30,4,,,,,
2016-02-19,,,12,,,,,,,6,,15,,,,,18,,10,,12,,,,7,7,27,6,,,,,
2016-02-26,,,13,,,,,,,6,,19,,,,,18,,7,,11,,,,6,6,27,7,,,,,
2016-03-05,,,13,,,,,,,5,,18,,,,,19,,8,,11,,,,6,7,26,7,,,,,
2016-03-09,,,13,,,,,,,6,,15,,,,,21,,8,,12,,,,7,7,25,6,,,,,
2016-03-18,,,12,,,,,,,6,,15,,,,,21,,9,,12,,,,6,7,26,6,,,,,
2016-03-24,,,13,,,,,,,5,,15,,,,,20,,7,,12,,,,7,7,27,7,,,,,
2016-03-25,,,12,,,,,,,6,,17,,,,,19,,8,,11,,,,7,7,26,7,,,,,
2016-05-16,,,14,,,,,,,6,,13,,,,,20,,9,,12,,,,6,6,25,9,,,,,
2016-05-16,,,13,,,,,,,6,,17,,,,,18,,9,,10,,,,6,7,27,7,,,,,
2016-05-17,,,11,,,,,,,7,,13,,,,,18,,11,,14,,,,7,7,26,6,,,,,
2016-05-17,,,13,,,,,,,8,,11,,,,,24,,9,,8,,,,4,10,27,6,,,,,
2016-05-27,,,13,,,,,,,6,,15,,,,,19,,8,,10,,,,7,8,28,6,,,,,
2016-05-29,,,13,,,,,,,8,,8,,,,,21,,8,,14,,,,4,10,27,7,,,,,
2016-06-02,,,13,,,,,,,6,,15,,,,,19,,8,,11,,,,6,8,27,7,,,,,
