state,state_num,elxn_date,name,abb,english,fed_elxn,state_inc,state_elxn,leader_elxn,seats,votes,fed_2019,seats_2019,votes_2019,fed_now,state_now,leader_now
Jammu & Kashmir,1,20/12/2014,People's Democratic,JKPDP,,--,,Win,Mufti Mohammad Sayeed,28,"22,7",--,,"2,4",NDA,Win,Mufti Mohammad Sayeed
Jammu & Kashmir,1,20/12/2014,Bharatiya Janata,BJP,,BJP,,Win,Nirmal Kumar Singh,25,"23,0",BJP,3,"46,4",BJP,Win,Nirmal Kumar Singh
Jammu & Kashmir,1,20/12/2014,National Conference,JKNC,,--,Inc,,Omar Abdullah,15,"20,8",UPA,3,"7,9",--,,Omar Abdullah
Jammu & Kashmir,1,20/12/2014,Congress,INC,,INC,Inc,,,12,"18,0",INC,,"28,5",INC,,
Jammu & Kashmir,1,20/12/2014,Other,Other,,--,,,,4,"15,5",,,,--,,
Jammu & Kashmir,1,20/12/2014,Independent,Ind,,--,,,,3,,,,,--,,
Himachal Pradesh,2,09/11/2017,Bharatiya Janata,BJP,,BJP,,Win,Prem Kumar Dhumal,44,"48,8",BJP,4,"69,1",BJP,Win,Prem Kumar Dhumal
Himachal Pradesh,2,09/11/2017,Congress,INC,,INC,Inc,,Virbhadra Singh,21,"41,7",INC,,"27,3",INC,,Virbhadra Singh
Himachal Pradesh,2,09/11/2017,Communist (Marxist),CPI(M),,Left,,,,1,"1,5",,,,Left,,
Himachal Pradesh,2,09/11/2017,Independent,Ind,,--,,,,2,"6,3",,,,--,,
Punjab,3,04/02/2017,Congress,INC,,INC,,Win,Amarinder Singh,77,"38,5",INC,8,"40,1",INC,Win,Amarinder Singh
Punjab,3,04/02/2017,Aam Aadmi,AAP,Common Man's,--,,,,20,"23,7",Fed,1,"7,4",--,,
Punjab,3,04/02/2017,Shiromani Akali Dal,SAD,,NDA,Inc,,Parkash Singh Badal,15,"25,2",NDA,2,"27,5",NDA,,Parkash Singh Badal
Punjab,3,04/02/2017,Bharatiya Janata,BJP,,BJP,Inc,,,3,"5,4",BJP,2,"9,6",BJP,,
Punjab,3,04/02/2017,Lok Insaaf,LIP,,--,,,,2,"1,2",MGB,,,--,,
Haryana,5,21/10/2019,Bharatiya Janata,BJP,,BJP,Inc,Win,Manohar Lal Khattar,40,"37,1",BJP,10,"58,0",BJP,Win,Manohar Lal Khattar
Haryana,5,21/10/2019,Jannayak Janata,JJP,Devi Lal's people,--,,Win,Dushyant Chautala,10,"15,1",,,,NDA,Win,Dushyant Chautala
Haryana,5,21/10/2019,Congress,INC,,INC,,,Bhupinder Singh Hooda,31,"28,5",INC,,"28,4",INC,,Bhupinder Singh Hooda
Haryana,5,21/10/2019,Other,Other,,--,,,,2,"9,6",,,,Janata,,
Haryana,5,21/10/2019,Independent,Ind,,--,,,,7,"9,2",,,,--,,
Delhi,6,11/02/2020,Aam Aadmi,AAP,Common Man's,--,Inc,Win,Arvind Kejriwal,62,"53,6",Fed,,"18,1",--,Win,Arvind Kejriwal
Delhi,6,11/02/2020,Bharatiya Janata,BJP,,BJP,,,Manoj Tiwari,8,"38,5",BJP,7,"56,6",BJP,,Manoj Tiwari
Rajasthan,7,07/12/2018,Congress,INC,,INC,,Win,Ashok Gehlot,100,"39,3",INC,,"34,2",INC,Win,Ashok Gehlot
Rajasthan,7,07/12/2018,Rashtriya Lok Dal,RLD,,UPA,,Win,,1,"0,3",,,,UPA,Win,
