country,,gov_before,collapse,early,anouncement,election,,formation,gov_after,note
Austria,124,,,,,1999/10/03,,2000/02/04,Schüssel,
Austria,173,,2002/09/08,Y,2002/09/22,2002/11/24,63,2003/02/28,Schüssel,
Austria,102,,,,2006/07/14,2006/10/01,79,2007/01/11,Gusenbauer,
Austria,148,,2008/07/07,Y,,2008/09/28,,2008/12/02,Faymann,
Austria,78,,,,,2013/09/29,,2013/12/16,,
Austria,213,,2017/05/19,Y,,2017/10/15,,2017/12/18,Kurz I,
Austria,218,,2019/06/03,Y,2019/06/12,2019/09/29,109,2020/01/07,Kurz II,
Belgium,29,,,,,1999/06/13,,1999/07/12,Verhofstadt,
Belgium,55,,,,,2003/05/18,,2003/07/12,Verhofstadt,
Belgium,284,,,,,2007/06/10,,2008/03/20,Leterme,
Belgium,595,,2010/04/20,Y,2010/05/07,2010/06/13,37,2011/12/06,Di Rupo,
Belgium,135,,,,2014/04/25,2014/05/25,30,2014/10/07,Michel,
Belgium,452,,2018/12/21,,,2019/05/26,,2020/03/17,Wilmès,~10/01
Bulgaria,22,,,,,2009/07/05,,2009/07/27,Borisov,
Bulgaria,98,,2013/02/20,Y,,2013/05/12,,2013/05/29,Oresharski,protest
Bulgaria,150,,2014/06/10,Y,2014/07/24,2014/10/05,73,2014/11/07,Borisov,
Bulgaria,171,,2016/11/14,Y,2017/01/27,2017/03/26,58,2017/05/04,Borisov,
Bulgaria,86,,,,2021/03/05,2021/04/04,30,2021/06/29,,
Croatia,75,,,,,2015/11/08,,2016/01/22,,
Croatia,125,,2016/06/16,Y,,2016/09/11,,2016/10/19,,
Croatia,17,,,,,2020/07/05,,2020/07/22,Plenkovic II,
Czechia,230,,,,,2006/06/03,,2007/01/19,Topolánek,
Czechia,45,,2009/03/24,,,,,2009/05/08,,
Czechia,30,,,,,2010/05/29,,2010/06/28,,
Czechia,226,,2013/06/17,Y,2013/08/20,2013/10/26,67,2014/01/29,Sobotka,
Czechia,249,,,,2017/05/02,2017/10/21,172,2018/06/27,Babiš,
Denmark,12,,,Y,1998/02/19,1998/03/11,20,1998/03/23,PNR,Min
Denmark,7,,,Y,,2001/11/20,,2001/11/27,AFR,Min
Denmark,10,,,Y,2005/01/18,2005/02/08,21,2005/02/18,AFR,Min
Denmark,10,,,Y,2007/10/24,2007/11/13,20,2007/11/23,AFR,Min
Denmark,18,,,Y,2011/08/26,2011/09/15,20,2011/10/03,HTS,Min
Denmark,10,,,Y,2015/05/27,2015/06/18,22,2015/06/28,LLR,Min
Denmark,22,,,,2019/05/07,2019/06/05,29,2019/06/27,Frederiksen,Min
Estonia,20,,2005/03/24,,,,,2005/04/13,Ansip,
Estonia,32,,,,,2007/03/04,,2007/04/05,,
Estonia,30,,,,,2011/03/06,,2011/04/05,,
Estonia,22,,2014/03/04,,,,,2014/03/26,Rõivas,
Estonia,39,,,,,2015/03/01,,2015/04/09,,
Estonia,14,,2016/11/09,,,,,2016/11/23,Ratas,
Estonia,57,,,,,2019/03/03,,2019/04/29,Ratas II,
Estonia,14,,2021/01/12,,,,,2021/01/26,Kallas,
Finland,25,,,,,1999/03/21,,1999/04/15,Lipponen,
Finland,100,,,,,2003/03/16,,2003/06/24,Jäättenmäkki,
Finland,29,,,,,2007/03/18,,2007/04/16,Vanhanen,
