"dist_no","dist","pcp18","ndp18","lib18","pcp_uniform","ndp_uniform","lib_uniform","pcp_proj","ndp_proj","lib_proj","win18","win_proj","likely","strat","strat_max","region","x0","y0","x2","y2"
1,"Ajax",39.0462546049939,30.9660253786328,25.8022922636103,34.9462546049939,20.3760253786328,33.9322922636103,34.6,20.3,34.5,"PCP","Toss up","Toss up","LIB","LIB","gta",12.6181886489911,-6.27115227179697,12.3841632741175,-7.05
2,"Algoma—Manitoulin",24.4531169764815,58.5567080894184,8.0962651056109,20.3531169764815,47.9667080894184,16.2262651056109,27.6,42.3,11.4,"NDP","NDP","Likely","Doesn't matter","NDP","north",-23.9140713935196,17.1932044435315,-12.7305734356312,23.65
3,"Aurora—Oak Ridges—Richmond Hill",56.0336014933997,18.0363571714298,21.5965154006845,51.9336014933997,7.44635717142984,29.7265154006845,47,12.3,32,"PCP","PCP","Likely","Doesn't matter","LIB","gta",26.8467875173176,6.70708609271523,26.8467875173176,-0.5
4,"Barrie—Innisfil",49.9661185399349,28.5982110589086,12.520328876039,45.8661185399349,18.0082110589086,20.650328876039,41.8,18.9,22.1,"PCP","PCP","Safe","Doesn't matter","Doesn't matter","central",24.1256555748454,11.2868359233827,19.8319817466636,8.25
5,"Barrie—Springwater—Oro-Medonte",44.7481888419532,28.2146687386461,13.5918930158244,40.6481888419532,17.6246687386461,21.7218930158244,39.4,18.6,22.9,"PCP","PCP","Safe","Doesn't matter","Doesn't matter","central",19.9389532940057,7.41453577447526,18.0133283987163,6.1
6,"Bay of Quinte",48.0234725030728,31.8444946671425,14.8903691368304,43.9234725030728,21.2544946671425,23.0203691368304,43.7,21,25.2,"PCP","PCP","Safe","Doesn't matter","Doesn't matter","east",19.6319106837421,9.56861444827723,19.6587766659068,7.15
7,"Beaches—East York",18.4357094202027,48.210922787194,27.0064510958849,14.3357094202027,37.620922787194,35.1364510958849,17.3,32.5,35.8,"NDP","LIB","Leaning","Lib or NDP","Lib or NDP","toronto",-20.1655863083554,-9.15813499218656,-13.1635861375235,-10.9
8,"Brampton Centre",38.1064349068397,38.3713316268826,17.3373415084231,34.0064349068397,27.7813316268825,25.4673415084231,38.6,25.4,27.5,"PCP","PCP","Likely","Doesn't matter","Lib or NDP","gta",5.39109758162472,5.426541758438,11.4315353299546,4.5
9,"Brampton East",33.5004546044941,46.9203792700351,16.6203403039356,29.4004546044941,36.3303792700351,24.7503403039356,33.4,33.3,26.6,"NDP","Toss up","Toss up","NDP","NDP","gta",-6.00149080667087,8.115076633329,0.0866025403784451,6.75
10,"Brampton North",36.2911366848375,37.5454270139309,21.2245103977387,32.1911366848375,26.9554270139309,29.3545103977387,35.3,24.8,31.5,"PCP","PCP","Leaning","LIB","LIB","gta",4.53425758184491,0.218771451645463,9.0932667397366,-1.45
