市区町村,候補者１,候補者１確計,候補者２,候補者２確計,候補者３,候補者３確計,候補者４,候補者４確計,候補者５,候補者５確計,候補者６,候補者６確計,候補者７,候補者７確計,候補者８,候補者８確計,候補者９,候補者９確計,候補者１０,候補者１０確計,候補者１１,候補者１１確計,候補者１２,候補者１２確計,候補者１３,候補者１３確計,候補者１４,候補者１４確計,候補者１５,候補者１５確計,候補者１６,候補者１６確計,候補者１７,候補者１７確計,候補者１８,候補者１８確計,定数,合計,残票数,開票率,確定時刻,法定得票数,供託物没収点
千代田区,ひぐち　たかあき／都民ファーストの会,14418.00,須賀　かずお／無所属,2871.00,中村　あや／自由民主党,7556.00,ごとう　てるき／国民ファーストの会,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25447.00,0,100,22:35,6361.75,2544.70
中央区,森山　高至／無所属,8736.00,立石　はるやす／無所属,6842.00,西郷　あゆ美／都民ファーストの会,25792.00,さいとう　かずえ／希望ファーストの会,1347.00,石島　ひでき／自由民主党,17965.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60682.00,0,100,23:21,15170.50,6068.20
港区,入江　のぶこ／都民ファーストの会,35263.00,かんの　弘一／自由民主党,15350.00,大塚　たかあき／無所属,13440.00,染谷　ふみ子／日本共産党,11434.00,なべ島　ひさし／幸福実現党,686,きたしろ　勝彦／自由民主党,8723.00,,,,,,,,,,,,,,,,,,,,,,,,,2,84896.00,0,100,23:35,10612.00,4244.80
新宿区,古城　まさお／公明党,19713.00,あおじ　まみ／民進党,7427.00,大山　とも子／日本共産党,25256.00,大門　さちえ／自由民主党,11599.00,森口　つかさ／都民ファーストの会,43822.00,秋田　一郎／自由民主党,17565.00,浜野　秀昭／無所属,1971.00,,,,,,,,,,,,,,,,,,,,,,,4,127353.00,0,100,23:23,7959.56,3183.83
文京区,なかや　文孝／自由民主党,26997.00,福手　ゆう子／日本共産党,26782.00,増子　ひろき／都民ファーストの会,42185.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,95964.00,0,100,22:57,11995.50,4798.20
台東区,いずみ　ひろし／自由民主党,16630.00,小柳　しげる／日本共産党,12343.00,中山　ひろゆき／無所属,19990.00,保坂　まさひろ／都民ファーストの会,29838.00,武田　完兵／無所属,686,,,,,,,,,,,,,,,,,,,,,,,,,,,2,79487.00,0,100,23:43,9935.88,3974.35
墨田区,伊藤　大気／日本共産党,15439.00,川松　真一朗／自由民主党,17507.00,桜井　ひろゆき／自由民主党,17404.00,加藤　まさゆき／公明党,21585.00,なりきよ　りさ子／都民ファーストの会,39531.00,,,,,,,,,,,,,,,,,,,,,,,,,,,3,111466.00,0,100,23:48,9288.83,3715.53
江東区,白戸　太朗／都民ファーストの会,45614.00,高橋　めぐみ／自由民主党,21059.00,細田　いさむ／公明党,36533.00,やまざき　一輝／自由民主党,37970.00,柿沢　ゆきえ／無所属,25908.00,大沢　のぼる／民進党,15409.00,古賀　美子／無所属,3171.00,あぜ上　三和子／日本共産党,29804.00,表　なつこ／幸福実現党,1403.00,,,,,,,,,,,,,,,,,,,4,216871.00,0,100,23:59,13554.44,5421.78
品川区,田中　たけし／自由民主党,19546.00,白石　たみお／日本共産党,23176.00,もりさわ　恭子／都民ファーストの会,32261.00,沢田　ひろかず／自由民主党,15807.00,伊藤　こういち／公明党,26184.00,あべ　祐美子／民進党,17612.00,山内　あきら／都民ファーストの会,28591.00,,,,,,,,,,,,,,,,,,,,,,,4,163177.00,0,100,2:01,10198.56,4079.43
目黒区,斉藤　やすひろ／公明党,19077.00,星見　てい子／日本共産党,18572.00,鈴木　隆道／自由民主党,13912.00,伊藤　ゆう／都民ファーストの会,47674.00,栗山　よしじ／自由民主党,14455.00,,,,,,,,,,,,,,,,,,,,,,,,,,,3,113690.00,0,100,23:24,9474.17,3789.67
大田区,藤井　一／公明党,26704.00,みぞぐち　晃一／無所属,5420.00,藤田　りょうこ／日本共産党,24957.00,神林　茂／自由民主党,21831.00,もり　愛／都民ファーストの会,55000.00,すどう　えいじ／無所属,4118.00,鈴木　あきまさ／自由民主党,19032.95,遠藤　守／公明党,26593.00,鈴木　あきひろ／自由民主党,21207.05,沢田　大作／民進党,16716.00,栗下　善行／都民ファーストの会,33017.00,やながせ　裕文／日本維新の会,21460.00,飯田　佳宏／地方議員ゼロの会,2194.00,佐藤　伸／日本共産党,18193.00,井出　鬼子雄／無所属,691,,,,,,,8,297134.00,0,100,23:56,9285.44,3714.18
世田谷区,ふじた　孝行／無所属,3813.00,栗林　のり子／公明党,42208.00,桜井　純子／社会民主党,13243.00,山口　拓／民進党,29838.00,小松　ダイスケ／自由民主党,25805.00,川合　善大／無所属,1012.00,伊沢　浩美／地方議員ゼロの会,1990.00,後藤　雄一／行革１１０番,13141.00,ひえしま　進／日本維新の会,10524.00,マック　赤坂／無所属,9021.00,岡本　京子／東京・生活者ネットワーク,15175.00,福島　りえこ／都民ファーストの会,70471.00,木村　基成／都民ファーストの会,49055.00,里吉　ゆみ／日本共産党,34621.00,三浦　しずか／無所属,4145.00,大場　やすのぶ／自由民主党,18048.00,森　ふみお／無所属,506,三宅　しげき／自由民主党,33019.00,8,375635.00,0,100,0:54,11738.59,4695.44
渋谷区,浜田　ひろき／民進党,9918.00,大津　ひろ子／無所属,18060.00,龍円　あいり／都民ファーストの会,28223.00,前田　かずしげ／自由民主党,17658.00,おりかさ　裕治／日本共産党,10323.00,,,,,,,,,,,,,,,,,,,,,,,,,,,2,84182.00,0,100,23:28,10522.75,4209.10
中野区,荒木　ちはる／都民ファーストの会,44104.00,西沢　けいた／民進党,23874.00,しらかし　貴子／幸福実現党,1118.00,浦野　さとみ／日本共産党,20106.00,高倉　良生／公明党,24647.00,川井　しげお／自由民主党,22535.00,,,,,,,,,,,,,,,,,,,,,,,,,3,136384.00,0,100,23:33,11365.33,4546.13
杉並区,田中　朝子／民進党,15887.00,小松　久子／東京・生活者ネットワーク,16277.00,あかねがくぼ　かよ子／都民ファーストの会,36145.00,原田　あきら／日本共産党,31292.00,高橋　しょうご／無所属,4466.00,北島　くにひこ／都政を革新する会,2496.00,小宮　あんり／自由民主党,24632.00,西村　まさみ／民進党,8220.00,まつば　多美子／公明党,29144.00,鳥居　こうすけ／都民ファーストの会,39893.00,,28112.00,早坂　よしひろ／自由民主党,2315.00,菅沢　治希／地方議員ゼロの会,,,,,,,,,,,,6,238879.00,0,100,0:00,9953.29,3981.32
豊島区,泉谷　つよし／民進党,7825.00,本橋　ひろたか／都民ファーストの会,44556.00,堀　こうどう／自由民主党,18647.00,米倉　春奈／日本共産党,20139.00,長橋　けい一／公明党,20381.00,,,,,,,,,,,,,,,,,,,,,,,,,,,3,111548.00,0,100,23:21,9295.67,3718.27
北区,おときた　駿／都民ファーストの会,56376.00,そね　はじめ／日本共産党,30374.00,和田　宗春／民進党,8316.00,高木　けい／自由民主党,29135.00,大松　あきら／公明党,34501.00,,,,,,,,,,,,,,,,,,,,,,,,,,,3,158702.00,0,100,23:10,13225.17,5290.07
荒川区,たきぐち　学／無所属,21234.00,西野　アキラ／幸福実現党,523,けいの　信一／公明党,24005.00,さきやま　知尚／自由民主党,18135.00,山本　ごう／無所属,2734.00,相馬　けんいち／日本共産党,17394.00,宮本　しゅんま／無所属,2109.00,,,,,,,,,,,,,,,,,,,,,,,2,86134.00,0,100,23:30,10766.75,4306.70
